157d:11.27h - 1.0%, S0 -7.500000|-7.500000,S1 -7.500000|-6.500000,S2 -7.500000|-5.500000,S3 -7.500000|-4.500000,S4 -7.500000|-3.500000,S5 -7.500000|-2.500000,S6 -7.500000|-1.500000,S7 -7.500000|-0.500000,S8 -7.500000|0.500000,S9 -7.500000|1.500000,S10 -7.500000|2.500000,S11 -7.500000|3.500000,S12 -7.500000|4.500000,S13 -7.500000|5.500000,S14 -7.500000|6.500000,S15 -7.500000|7.500000,S16 -6.500000|-7.500000,S17 -6.500000|-6.500000,S18 -6.500000|-5.500000,S19 -6.500000|-4.500000,S20 -6.500000|-3.500000,S21 -6.500000|-2.500000,S22 -6.500000|-1.500000,S23 -6.500000|-0.500000,S24 -6.500000|0.500000,S25 -6.500000|1.500000,S26 -6.500000|2.500000,S27 -6.500000|3.500000,S28 -6.500000|4.500000,S29 -6.500000|5.500000,S30 -6.500000|6.500000,S31 -6.500000|7.500000,S32 -5.500000|-7.500000,S33 -5.500000|-6.500000,S34 -5.500000|-5.500000,S35 -5.500000|-4.500000,S36 -5.500000|-3.500000,S37 -5.500000|-2.500000,S38 -5.500000|-1.500000,S39 -5.500000|-0.500000,S40 -5.500000|0.500000,S41 -5.500000|1.500000,S42 -5.500000|2.500000,S43 -5.500000|3.500000,S44 -5.500000|4.500000,S45 -5.500000|5.500000,S46 -5.500000|6.500000,S47 -5.500000|7.500000,S48 -4.500000|-7.500000,S49 -4.500000|-6.500000,S50 -4.500000|-5.500000,S51 -4.500000|-4.500000,S52 -4.500000|-3.500000,S53 -4.500000|-2.500000,S54 -4.500000|-1.500000,S55 -4.500000|-0.500000,S56 -4.500000|0.500000,S57 -4.500000|1.500000,S58 -4.500000|2.500000,S59 -4.500000|3.500000,S60 -4.500000|4.500000,S61 -4.500000|5.500000,S62 -4.500000|6.500000,S63 -4.500000|7.500000,S64 -3.500000|-7.500000,S65 -3.500000|-6.500000,S66 -3.500000|-5.500000,S67 -3.500000|-4.500000,S68 -3.500000|-3.500000,S69 -3.500000|-2.500000,S70 -3.500000|-1.500000,S71 -3.500000|-0.500000,S72 -3.500000|0.500000,S73 -3.500000|1.500000,S74 -3.500000|2.500000,S75 -3.500000|3.500000,S76 -3.500000|4.500000,S77 -3.500000|5.500000,S78 -3.500000|6.500000,S79 -3.500000|7.500000,S80 -2.500000|-7.500000,S81 -2.500000|-6.500000,S82 -2.500000|-5.500000,S83 -2.500000|-4.500000,S84 -2.500000|-3.500000,S85 -2.500000|-2.500000,S86 -2.500000|-1.500000,S87 -2.500000|-0.500000,S88 -2.500000|0.500000,S89 -2.500000|1.500000,S90 -2.500000|2.500000,S91 -2.500000|3.500000,S92 -2.500000|4.500000,S93 -2.500000|5.500000,S94 -2.500000|6.500000,S95 -2.500000|7.500000,S96 -1.500000|-7.500000,S97 -1.500000|-6.500000,S98 -1.500000|-5.500000,S99 -1.500000|-4.500000,S100 -1.500000|-3.500000,S101 -1.500000|-2.500000,S102 -1.500000|-1.500000,S103 -1.500000|-0.500000,S104 -1.500000|0.500000,S105 -1.500000|1.500000,S106 -1.500000|2.500000,S107 -1.500000|3.500000,S108 -1.500000|4.500000,S109 -1.500000|5.500000,S110 -1.500000|6.500000,S111 -1.500000|7.500000,S112 -0.500000|-7.500000,S113 -0.500000|-6.500000,S114 -0.500000|-5.500000,S115 -0.500000|-4.500000,S116 -0.500000|-3.500000,S117 -0.500000|-2.500000,S118 -0.500000|-1.500000,S119 -0.500000|-0.500000,S120 -0.500000|0.500000,S121 -0.500000|1.500000,S122 -0.500000|2.500000,S123 -0.500000|3.500000,S124 -0.500000|4.500000,S125 -0.500000|5.500000,S126 -0.500000|6.500000,S127 -0.500000|7.500000,S128 0.500000|-7.500000,S129 0.500000|-6.500000,S130 0.500000|-5.500000,S131 0.500000|-4.500000,S132 0.500000|-3.500000,S133 0.500000|-2.500000,S134 0.500000|-1.500000,S135 0.500000|-0.500000,S136 0.500000|0.500000,S137 0.500000|1.500000,S138 0.500000|2.500000,S139 0.500000|3.500000,S140 0.500000|4.500000,S141 0.500000|5.500000,S142 0.500000|6.500000,S143 0.500000|7.500000,S144 1.500000|-7.500000,S145 1.500000|-6.500000,S146 1.500000|-5.500000,S147 1.500000|-4.500000,S148 1.500000|-3.500000,S149 1.500000|-2.500000,S150 1.500000|-1.500000,S151 1.500000|-0.500000,S152 1.500000|0.500000,S153 1.500000|1.500000,S154 1.500000|2.500000,S155 1.500000|3.500000,S156 1.500000|4.500000,S157 1.500000|5.500000,S158 1.500000|6.500000,S159 1.500000|7.500000,S160 2.500000|-7.500000,S161 2.500000|-6.500000,S162 2.500000|-5.500000,S163 2.500000|-4.500000,S164 2.500000|-3.500000,S165 2.500000|-2.500000,S166 2.500000|-1.500000,S167 2.500000|-0.500000,S168 2.500000|0.500000,S169 2.500000|1.500000,S170 2.500000|2.500000,S171 2.500000|3.500000,S172 2.500000|4.500000,S173 2.500000|5.500000,S174 2.500000|6.500000,S175 2.500000|7.500000,S176 3.500000|-7.500000,S177 3.500000|-6.500000,S178 3.500000|-5.500000,S179 3.500000|-4.500000,S180 3.500000|-3.500000,S181 3.500000|-2.500000,S182 3.500000|-1.500000,S183 3.500000|-0.500000,S184 3.500000|0.500000,S185 3.500000|1.500000,S186 3.500000|2.500000,S187 3.500000|3.500000,S188 3.500000|4.500000,S189 3.500000|5.500000,S190 3.500000|6.500000,S191 3.500000|7.500000,S192 4.500000|-7.500000,S193 4.500000|-6.500000,S194 4.500000|-5.500000,S195 4.500000|-4.500000,S196 4.500000|-3.500000,S197 4.500000|-2.500000,S198 4.500000|-1.500000,S199 4.500000|-0.500000,S200 4.500000|0.500000,S201 4.500000|1.500000,S202 4.500000|2.500000,S203 4.500000|3.500000,S204 4.500000|4.500000,S205 4.500000|5.500000,S206 4.500000|6.500000,S207 4.500000|7.500000,S208 5.500000|-7.500000,S209 5.500000|-6.500000,S210 5.500000|-5.500000,S211 5.500000|-4.500000,S212 5.500000|-3.500000,S213 5.500000|-2.500000,S214 5.500000|-1.500000,S215 5.500000|-0.500000,S216 5.500000|0.500000,S217 5.500000|1.500000,S218 5.500000|2.500000,S219 5.500000|3.500000,S220 5.500000|4.500000,S221 5.500000|5.500000,S222 5.500000|6.500000,S223 5.500000|7.500000,S224 6.500000|-7.500000,S225 6.500000|-6.500000,S226 6.500000|-5.500000,S227 6.500000|-4.500000,S228 6.500000|-3.500000,S229 6.500000|-2.500000,S230 6.500000|-1.500000,S231 6.500000|-0.500000,S232 6.500000|0.500000,S233 6.500000|1.500000,S234 6.500000|2.500000,S235 6.500000|3.500000,S236 6.500000|4.500000,S237 6.500000|5.500000,S238 6.500000|6.500000,S239 6.500000|7.500000,S240 7.500000|-7.500000,S241 7.500000|-6.500000,S242 7.500000|-5.500000,S243 7.500000|-4.500000,S244 7.500000|-3.500000,S245 7.500000|-2.500000,S246 7.500000|-1.500000,S247 7.500000|-0.500000,S248 7.500000|0.500000,S249 7.500000|1.500000,S250 7.500000|2.500000,S251 7.500000|3.500000,S252 7.500000|4.500000,S253 7.500000|5.500000,S254 7.500000|6.500000,S255 7.500000|7.500000
sunlight, 0.69189453,0.39648438,0.73925781,0.86376953,0.86328125,0.86376953,0.81201172,0.44921875,0.68994141,0.38964844,0.72949219,0.86376953,0.86279297,0.86279297,0.79882813,0.46142578,0.33984375,0.14111328,0.68212891,0.86328125,0.86328125,0.86230469,0.77294922,0.070312500,0.33105469,0.15673828,0.67187500,0.86328125,0.86474609,0.86328125,0.78759766,0.064453125,0.087890625,0.11816406,0.58496094,0.86425781,0.86376953,0.86425781,0.20654297,0.010742188,0.099121094,0.12841797,0.58886719,0.86328125,0.86328125,0.86035156,0.21728516,0.012207031,0.051269531,0.11621094,0.66650391,0.86376953,0.86328125,0.49169922,0.080078125,0.014648438,0.053710938,0.11865234,0.68408203,0.86425781,0.86328125,0.48095703,0.078613281,0.010253906,0.074218750,0.13281250,0.58935547,0.86376953,0.84130859,0.30224609,0.037109375,0.0019531250,0.058593750,0.12646484,0.58691406,0.86328125,0.83691406,0.30859375,0.044921875,0.0019531250,0.058593750,0.11328125,0.67773438,0.86425781,0.86279297,0.23876953,0.038085938,0.0048828125,0.047363281,0.11767578,0.66943359,0.86425781,0.86083984,0.24609375,0.040527344,0.0058593750,0.075683594,0.12744141,0.58593750,0.86279297,0.84326172,0.21826172,0.042968750,0.0000000,0.070800781,0.12255859,0.59960938,0.86376953,0.84619141,0.20556641,0.048339844,0.0014648438,0.047363281,0.11767578,0.66162109,0.86376953,0.86132813,0.26074219,0.034667969,0.0063476563,0.052246094,0.11230469,0.66210938,0.86230469,0.86132813,0.26269531,0.031250000,0.0048828125,0.065917969,0.13427734,0.57373047,0.86376953,0.84375000,0.20068359,0.041992188,0.0014648438,0.070800781,0.12695313,0.58740234,0.86425781,0.83984375,0.20947266,0.040527344,0.00097656250,0.043457031,0.097167969,0.66455078,0.86328125,0.86376953,0.24414063,0.041992188,0.0048828125,0.059082031,0.12011719,0.66943359,0.86328125,0.86181641,0.25439453,0.028320313,0.0048828125,0.052246094,0.11669922,0.57421875,0.86376953,0.84228516,0.21093750,0.049804688,0.0029296875,0.068847656,0.13476563,0.57080078,0.86425781,0.84130859,0.20458984,0.036621094,0.0039062500,0.043945313,0.11474609,0.66357422,0.86425781,0.85986328,0.24121094,0.035644531,0.0063476563,0.048339844,0.10351563,0.67968750,0.86279297,0.86083984,0.25439453,0.034179688,0.0063476563,0.068847656,0.12353516,0.57812500,0.86328125,0.84326172,0.21386719,0.044921875,0.00097656250,0.063476563,0.13427734,0.59130859,0.86425781,0.83593750,0.20312500,0.046386719,0.00048828125,0.048339844,0.12011719,0.66699219,0.86376953,0.86181641,0.26464844,0.027832031,0.0073242188,0.045898438,0.11083984,0.66992188,0.86425781,0.86376953,0.26025391,0.030761719,0.0058593750,0.068359375,0.13769531,0.58984375,0.86328125,0.84228516,0.19775391,0.034179688,0.00048828125,0.068847656,0.13427734,0.59619141,0.86230469,0.84375000,0.20703125,0.039550781,0.0014648438,0.045898438,0.10693359,0.66210938,0.86376953,0.85888672,0.25244141,0.035156250,0.0053710938,0.052246094,0.10839844,0.66162109,0.86425781,0.86181641,0.24707031,0.025390625,0.0073242188
diffuse light, 0.30817169,0.28552070,0.30652437,0.31224129,0.30758938,0.28942674,0.29436207,0.29119930,0.25782424,0.24471691,0.28232369,0.30078384,0.30787909,0.29569361,0.30857432,0.30797836,0.27620110,0.27114570,0.27867523,0.28451893,0.27665797,0.28020892,0.28682843,0.27035621,0.20997599,0.23433353,0.26131910,0.28225231,0.27979857,0.28485680,0.30238754,0.30159807,0.26888436,0.23510768,0.25836772,0.27721697,0.26971340,0.24863832,0.25743669,0.24491027,0.21812366,0.19028117,0.23027775,0.26614648,0.27214959,0.25653794,0.27755570,0.26656061,0.24716191,0.23526387,0.25466323,0.25983629,0.24460793,0.23954901,0.24807097,0.24256508,0.18275718,0.19110663,0.23071919,0.25229916,0.24448104,0.24466994,0.26839849,0.28011683,0.24548458,0.21995324,0.24224921,0.25576797,0.23488104,0.22479135,0.23484686,0.22108293,0.18796954,0.16682197,0.20983472,0.24396823,0.23546347,0.22637607,0.25120252,0.24623978,0.23128039,0.22232163,0.23642363,0.24160399,0.22005682,0.21760589,0.23393336,0.22835313,0.16766554,0.17866352,0.20991229,0.23412663,0.21766494,0.22525916,0.25075966,0.26477650,0.24200661,0.21057217,0.22725706,0.24071553,0.22746883,0.21481590,0.22910497,0.22094472,0.18778269,0.15808937,0.19102812,0.22871335,0.22796610,0.21689755,0.24212281,0.24373765,0.23292205,0.21625325,0.22864309,0.23789950,0.21927767,0.21802671,0.22891919,0.22292557,0.17120928,0.17327766,0.20208627,0.22906473,0.21504869,0.22390938,0.24820046,0.25990865,0.23853508,0.20892026,0.22639491,0.24245362,0.22623405,0.21110453,0.21771234,0.21653636,0.18450417,0.15977889,0.19284917,0.22831291,0.22539508,0.21595877,0.23246911,0.24052148,0.22928700,0.21937490,0.23680362,0.24258654,0.21049152,0.22593856,0.22251086,0.22165868,0.16524969,0.17982100,0.20971894,0.23165277,0.20902109,0.23047696,0.24380063,0.25981665,0.23964174,0.21154900,0.23552561,0.24794006,0.22556609,0.21955457,0.22211766,0.21152160,0.18312575,0.16607571,0.20247188,0.23360290,0.22567767,0.22473416,0.23606965,0.23908965,0.24022809,0.22490384,0.24542677,0.25573733,0.22230512,0.22642645,0.22876085,0.23002768,0.18481573,0.18805523,0.21993904,0.24856356,0.22234696,0.23166116,0.24873215,0.26444978,0.24703710,0.21892634,0.24761885,0.26380908,0.24043952,0.22669306,0.23794532,0.22419038,0.20304193,0.18069234,0.21426763,0.24709348,0.24207686,0.23436798,0.24946457,0.25180495,0.25493863,0.25118104,0.27294195,0.27739999,0.24841528,0.24326196,0.25398117,0.24659412,0.20871669,0.21677741,0.24259605,0.26164830,0.24259408,0.24431530,0.27093008,0.28038371,0.27425134,0.25292674,0.26940718,0.28608263,0.26953033,0.25150245,0.26180539,0.24686185,0.23198360,0.21638261,0.23623119,0.26931584,0.26836088,0.25898498,0.26990855,0.27147919,0.28587639,0.27987978,0.28865117,0.30262259,0.28933290,0.30096921,0.28488550,0.28218636,0.25646663,0.24679914,0.25863439,0.28801242,0.28616378,0.30016762,0.29694495,0.31139201
