180d:12h - 1.0%, S0 -6.000000|-6.000000,S1 -6.000000|-2.000000,S2 -6.000000|2.000000,S3 -6.000000|6.000000,S4 -2.000000|-6.000000,S5 -2.000000|-2.000000,S6 -2.000000|2.000000,S7 -2.000000|6.000000,S8 2.000000|-6.000000,S9 2.000000|-2.000000,S10 2.000000|2.000000,S11 2.000000|6.000000,S12 6.000000|-6.000000,S13 6.000000|-2.000000,S14 6.000000|2.000000,S15 6.000000|6.000000
sunlight, 5.0507813,11.874512,5.0175781,11.874023,3.1059570,9.8549805,3.1386719,9.8403320,3.1484375,9.7856445,3.1450195,9.8637695,3.1069336,9.8427734,3.1225586,9.8198242
diffuse light, 4.5865526,3.8986983,4.0750899,4.0518603,4.0494394,3.3255734,3.4106171,3.5870245,4.0455551,3.1876528,3.3683124,3.4687569,4.3712387,3.9220979,3.6953371,4.2388105
